,names,brand,price,links,description
11,Zapatillas New Balance DynaSoft Nitrel V5 Mujer...,NEW BALANCE,99.95,https://www.murallasport.com/producto/6952-zapatillas-new-balance-dynasoft-nitrel-v5-mujer-gris,"Deja huella en el asfalto y también en la montaña con nuestras DynaSoft Nitrel V5. Estas zapatillas de trail para mujer son muy robustas y resisten el desgaste diario. Presentan unas capas de refuerzo sin costuras, malla técnica y una suela AT Tread muy duradera. Rendimiento y comodidad se fusionan en una entresuela DynaSoft muy reactiva para brindarte el máximo confort en cada pisada y que conquistes los terrenos más arduos."
12,Zapatilla Mujer New Balance 574 Rosa,NEW BALANCE,110.0,https://www.murallasport.com/producto/6643-zapatilla-mujer-new-balance-574-rosa,Zapatilla Mujer New Balance 574 Rosa
13,Zapatilla Mujer New Balance 574 v2 Beige,NEW BALANCE,110.0,https://www.murallasport.com/producto/6544-zapatilla-mujer-new-balance-574-v2-beige,"Parte superior de ante/malla Descripción El 574 es un favorito del estilo urbano que combina bien con todo, desde tus sudaderas favoritas hasta tus jeans favoritos. La parte superior nueva y seductora de esta zapatilla clásica con amortiguación ENCAP en la entresuela debajo del pie te permite navegar por tu lista de tareas diarias con estilo.  La silueta de la firma de los años 80 le da a tu look un estilo clásico y eleva instantáneamente tu estilo."
14,New Balance 327,NEW BALANCE,120.0,https://www.murallasport.com/producto/6595-new-balance-327,Empeine de tejido Marca «N» de gran tamaño Diseño clásico inspirado en las zapatillas de la década de los 70 Cierre con cordón regulable para un ajuste personalizado
15,Zapatilla  New Balance 327   Naranja,NEW BALANCE,120.0,https://www.murallasport.com/producto/6556-zapatilla-new-balance-327-naranja,"La 327 supone un hito en los años 70 en lo que respecta a la innovación, al transgredir los elementos de estilo clásico dándoles un aspecto contemporáneo. Con una renovación angular de la silueta de cuña de calidad demostrada, el volumen, la marca “N” aplicada asimétricamente y la suela con relieve inspirado en el trail, la 327 proporciona un rediseño completo de nuestra tradición del mundo del running."
16,New Balance 327,NEW BALANCE,130.0,https://www.murallasport.com/producto/6644-new-balance-327,"La 327 supone un hito en los años 70 en lo que respecta a la innovación, al transgredir los elementos de estilo clásico dándoles un aspecto contemporáneo. Con una renovación angular de la silueta de cuña de calidad demostrada, el volumen, la marca “N” aplicada asimétricamente y la suela con relieve inspirado en el trail, la 327 proporciona un rediseño completo de nuestra tradición del mundo del running."
17,Zapatilla  Converse Chuck taylor Clouds  LT Arm...,CONVERSE,65.0,https://www.murallasport.com/producto/6482-zapatilla-converse-chuck-taylor-clouds-lt-armory-azul,Zapato alto con parte superior de jacquard Bordado de nubes por toda la prenda Elementos de diseño Heritage como puntera y puntera de goma Plantilla SmartFOAM para mayor comodidad Parche de estrella clásica en el tobillo y rayas en la entresuela
18,Converse Star Player 76   Gris,CONVERSE,75.0,https://www.murallasport.com/producto/6924-converse-star-player-76-gris,Cierre cordón
19,Converse Chuck taylor Lift ALL STAR ROSA,CONVERSE,90.0,https://www.murallasport.com/producto/6400-converse-chuck-taylor-lift-all-star-rosa,"Cierre cordones, plataforma"
20,Zapatilla Converse Hi Explore Blanco,CONVERSE,90.0,https://www.murallasport.com/producto/6586-zapatilla-converse-hi-explore-blanco,Zapato alto con parte superior de lona elástica Amortiguación de espuma CX para una comodidad innovadora Tirador en el talón y la lengüeta para ponérselos y quitárselos con facilidad Detalles de costuras en zig-zag en el entrecejo para una apariencia artesanal Parche de estrella perforado de piel sintética en el tobillo
21,Zapatilla de Converse Ctas Lift Hi para Mujer Azul,CONVERSE,95.0,https://www.murallasport.com/producto/6936-zapatilla-de-converse-ctas-lift-hi-para-mujer-azul,Plantilla: textil Interior: tejido Parte superior: Textil/-Textil Suela: goma
22,Converse Run star hike Hi Rojo,CONVERSE,109.2,https://www.murallasport.com/producto/6922-converse-run-star-hike-hi-rojo,Zapatilla de plataforma alta con parte superior de polilona Amortiguación OrthoLite para comodidad durante todo el día. Nuevos colores de Converse para refrescar tu rotación Suela de dientes de sierra con bloques de color para una mejor tracción Parche de tobillo icónico Chuck Taylor All Star
23,Zapatilla Converse Run Star Hike Naranja,CONVERSE,130.0,https://www.murallasport.com/producto/6923-zapatilla-converse-run-star-hike-naranja,Zapato de plataforma alta con lona resistente Amortiguación OrthoLite para usar todo el día Suela dentada de dos tonos Tirador en el talón para ponérselos y quitárselos fácilmente Parche de tobillo All Star clásico
